date,forecast_central,forecast_quantile_95,recommended_amount,buffer,service_level,risk_shortage_pct,cost_idle_expected,cost_shortage_expected,model_version
2026-02-10,190485023093.39938,192663142377.0346,192663142377.0346,2178119283.6352234,0.95,0.050000000000000044,217811.92836352234,0.0,1.0.0
2026-02-11,151039036921.91147,173350212723.03503,173350212723.03503,22311175801.123566,0.95,0.050000000000000044,2231117.5801123567,0.0,1.0.0
2026-02-12,142001767551.08145,179820508986.89493,179820508986.89493,37818741435.81348,0.95,0.050000000000000044,3781874.143581348,0.0,1.0.0
2026-02-13,193396300033.63092,208598909256.42773,208598909256.42773,15202609222.796814,0.95,0.050000000000000044,1520260.9222796815,0.0,1.0.0
2026-02-14,137651580910.4685,173285248462.89178,173285248462.89178,35633667552.42328,0.95,0.050000000000000044,3563366.755242328,0.0,1.0.0
2026-02-15,106367253615.48683,172180589849.9726,172180589849.9726,65813336234.48576,0.95,0.050000000000000044,6581333.623448577,0.0,1.0.0
2026-02-16,135657943908.53006,179820508986.89493,179820508986.89493,44162565078.36487,0.95,0.050000000000000044,4416256.507836487,0.0,1.0.0
2026-02-17,138162169677.42847,174182412821.85846,174182412821.85846,36020243144.42999,0.95,0.050000000000000044,3602024.3144429997,0.0,1.0.0
2026-02-18,167681851994.02814,185966369841.88452,185966369841.88452,18284517847.856384,0.95,0.050000000000000044,1828451.7847856386,0.0,1.0.0
2026-02-19,148024667997.31448,179820508986.89493,179820508986.89493,31795840989.580444,0.95,0.050000000000000044,3179584.098958045,0.0,1.0.0
2026-02-20,146325521973.93237,175700691076.95444,175700691076.95444,29375169103.022064,0.95,0.050000000000000044,2937516.9103022064,0.0,1.0.0
2026-02-21,176523075168.8757,195029093004.76752,195029093004.76752,18506017835.891815,0.95,0.050000000000000044,1850601.7835891817,0.0,1.0.0
2026-02-22,110690964397.13889,171900680393.97067,171900680393.97067,61209715996.83179,0.95,0.050000000000000044,6120971.599683179,0.0,1.0.0
